City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Labuhan,ID,2022-05-12 01:05:16,-6.8844,112.2051,82.71,79,98,2.19
97,Katsuura,JP,2022-05-12 01:05:16,35.1333,140.3,69.82,79,100,9.17
98,Severnyy-Kospashskiy,RU,2022-05-12 01:05:17,59.0925,57.8008,40.6,91,16,6.26
99,Mehamn,NO,2022-05-12 01:03:14,71.0357,27.8492,39.11,99,100,14.47
100,Neuquen,AR,2022-05-12 01:05:17,-38.9516,-68.0591,51.69,82,75,5.75
101,Ajdabiya,LY,2022-05-12 01:05:18,30.7554,20.2263,69.49,41,100,13.78
102,Yaan,NG,2022-05-12 01:05:18,7.3833,8.5667,77.45,77,100,5.19
103,Hasaki,JP,2022-05-12 01:05:19,35.7333,140.8333,73.8,80,100,10.2
104,Lorengau,PG,2022-05-12 01:01:23,-2.0226,147.2712,85.32,66,7,8.19
105,Beloha,MG,2022-05-12 01:05:19,-25.1667,45.05,62.26,85,0,5.12
106,Lerwick,GB,2022-05-12 01:05:20,60.1545,-1.1494,46.4,77,100,19.35
107,Pacasmayo,PE,2022-05-12 01:05:21,-7.4006,-79.5714,64.94,85,20,10.71
108,Butaritari,KI,2022-05-12 01:05:21,3.0707,172.7902,80.94,77,96,7.43
109,Bundaberg,AU,2022-05-12 01:05:22,-24.85,152.35,79.09,73,75,19.57
110,Esperance,AU,2022-05-12 01:05:23,-33.8667,121.9,60.28,82,100,5.97
111,Lokosovo,RU,2022-05-12 01:05:23,61.1333,74.8167,50.22,60,100,6.38
112,Vao,NC,2022-05-12 01:02:52,-22.6667,167.4833,73.63,64,100,26.69
113,Waingapu,ID,2022-05-12 01:05:24,-9.6567,120.2641,81.21,61,68,4.25
114,Inverness,GB,2022-05-12 01:01:29,57.4791,-4.224,45.84,84,65,10.36
115,Magadi,IN,2022-05-12 01:05:24,12.9667,77.2333,68.16,85,100,9.98
116,Hithadhoo,MV,2022-05-12 01:05:25,-0.6,73.0833,82.78,76,100,14.41
117,Aksarka,RU,2022-05-12 01:05:25,66.5606,67.7975,33.01,99,100,3.62
118,La Ronge,CA,2022-05-12 01:05:26,55.1001,-105.2842,48.9,50,82,3.78
119,Makat,KZ,2022-05-12 01:05:26,47.6469,53.3463,53.02,77,100,11.68
120,Bairiki,KI,2022-05-12 01:05:27,1.3292,172.9752,86.0,70,75,8.05
121,Rio Grande,BR,2022-05-12 01:05:27,-32.035,-52.0986,56.95,81,14,12.97
122,Ayan,RU,2022-05-12 01:05:27,56.45,138.1667,34.21,90,100,18.3
123,Severo-Kurilsk,RU,2022-05-12 01:05:28,50.6789,156.125,41.27,81,12,2.37
124,Arman,RU,2022-05-12 01:05:28,59.7,150.1667,43.02,82,100,3.11
125,Chokurdakh,RU,2022-05-12 01:05:29,70.6333,147.9167,25.68,93,100,15.1
126,Kangaatsiaq,GL,2022-05-12 01:05:29,68.3065,-53.4641,19.53,91,9,9.44
127,Seoul,KR,2022-05-12 01:05:19,37.5683,126.9778,69.19,43,100,4.16
128,Yulara,AU,2022-05-12 01:05:30,-25.2406,130.9889,64.24,48,100,10.36
129,Manicore,BR,2022-05-12 01:05:30,-5.8092,-61.3003,79.7,73,100,0.74
130,Baglan,AF,2022-05-12 01:03:43,36.1307,68.7083,68.65,63,0,1.39
131,Savannah Bight,HN,2022-05-12 01:05:31,16.45,-85.85,81.07,76,4,10.74
132,Xinye,CN,2022-05-12 01:05:13,32.5186,112.3522,63.84,73,100,7.36
133,Omsukchan,RU,2022-05-12 01:05:31,62.5333,155.8,35.98,86,29,2.17
134,Karagaylinskiy,RU,2022-05-12 01:05:32,54.172,86.5521,50.34,36,10,5.39
135,Chitral,PK,2022-05-12 01:05:32,35.8462,71.7858,67.5,41,0,3.8
136,Lauria,IT,2022-05-12 01:05:32,40.0465,15.8358,54.66,82,19,1.41
137,Vostok,RU,2022-05-12 01:05:33,46.4856,135.8833,50.59,49,15,5.99
138,Cayenne,GF,2022-05-12 01:05:33,4.9333,-52.3333,80.1,1,100,7.0
139,Guiratinga,BR,2022-05-12 01:05:34,-16.3494,-53.7583,72.36,63,100,2.35
140,Alofi,NU,2022-05-12 01:05:34,-19.0595,-169.9187,80.49,83,75,8.05
141,Cascais,PT,2022-05-12 01:05:34,38.6979,-9.4215,68.61,50,100,5.99
142,General Pico,AR,2022-05-12 01:05:35,-35.6566,-63.7568,58.66,64,100,12.3
143,Portland,US,2022-05-12 01:02:12,45.5234,-122.6762,60.78,49,75,12.66
144,Makakilo City,US,2022-05-12 01:06:35,21.3469,-158.0858,82.15,51,40,18.41
145,Sabha,LY,2022-05-12 01:06:36,27.0377,14.4283,63.14,59,0,16.75
146,Narsipatnam,IN,2022-05-12 01:06:36,17.6667,82.6167,79.56,89,100,4.16
147,Palana,RU,2022-05-12 01:06:37,59.1167,159.9667,37.92,70,24,6.42
148,Torbay,CA,2022-05-12 01:05:40,47.6666,-52.7314,46.38,89,100,27.63
149,Ridgecrest,US,2022-05-12 01:06:37,35.6225,-117.6709,69.66,12,0,5.75
